cpu0;r_a1;r_a2
0.0;0;0
4.95;0;0
9.9;0;0
14.85;0;0
19.64;0;1
21.88;0;1
25.36;0;1
27.33;0;1
27.54;0;1
31.23;0;1
35.85;0;1
40.42;0;1
45.03;0;1
49.54;0;1
54.14;0;1
58.78;0;1
63.43;0;1
68.03;0;1
72.67;0;1
77.22;0;1
81.7;0;1
86.35;0;1
90.99;0;1
95.6;0;1
100.19;0;1
104.8;0;1
109.44;0;1
114.06;0;1
118.64;0;1
123.25;0;1
127.83;0;1
132.45;0;1
137.06;0;1
141.7;0;1
146.28;0;1
150.89;0;1
155.46;0;1
160.04;0;1
164.66;0;1
169.29;0;1
173.89;0;1
178.45;0;1
183.09;0;1
187.74;0;1
192.35;0;1
196.97;0;1
201.58;0;1
206.15;0;1
210.77;0;1
215.41;0;1
220.04;0;1
224.66;0;1
229.22;0;1
233.84;0;1
238.47;0;1
243.07;0;1
247.64;0;1
252.24;0;1
256.87;0;1
261.51;0;1
266.1;0;1
270.73;0;1
275.34;0;1
279.92;0;1
283.75;1;1
286.21;1;1
288.83;1;1
288.86;1;1
290.53;1;1
290.53;1;1
294.69;1;1
299.0;1;1
303.37;1;1
307.7;1;1
311.9;1;1
316.18;1;1
320.5;1;1
324.73;1;1
329.09;1;1
333.29;1;1
337.6;1;1
341.92;1;1
346.13;1;1
350.47;1;1
354.81;1;1
359.12;1;1
363.4;1;1
367.68;1;1
371.92;1;1
376.24;1;1
380.59;1;1
384.95;1;1
389.27;1;1
393.51;1;1
397.82;1;1
402.13;1;1
406.47;1;1
410.73;1;1
415.01;1;1
419.35;1;1
423.7;1;1
428.0;1;1
432.29;1;1
436.56;1;1
440.87;1;1
445.1;1;1
449.36;1;1
453.71;1;1
458.05;1;1
462.41;1;1
466.66;1;1
470.96;1;1
475.3;1;1
479.6;1;1
483.87;1;1
488.19;1;1
492.48;1;1
496.82;1;1
501.12;1;1
505.51;1;1
509.87;1;1
514.22;1;1
518.53;1;1
522.79;1;1
527.06;1;2
529.05;1;2
531.76;1;2
533.32;1;2
533.32;1;2
535.73;1;2
539.6;1;2
543.58;1;2
547.47;1;2
551.31;1;2
555.33;1;2
559.38;1;2
563.39;1;2
567.4;1;2
571.41;1;2
575.45;1;2
579.45;1;2
583.4;1;2
587.38;1;2
591.39;1;2
595.45;1;2
599.49;1;2
603.51;1;2
607.54;1;2
611.6;1;2
615.68;1;2
619.73;1;2
623.75;1;2
627.73;1;2
631.78;1;2
635.87;1;2
639.91;1;2
643.87;1;2
647.87;1;2
651.9;1;2
655.93;1;2
660.0;1;2
664.03;1;2
668.04;1;2
672.07;1;2
676.13;1;2
680.22;1;2
684.24;1;2
688.22;1;2
692.21;1;2
696.21;1;2
700.23;1;2
704.39;1;2
708.43;1;2
712.54;1;2
716.56;1;2
720.57;1;2
724.62;1;2
728.7;1;2
732.76;1;2
736.78;1;2
740.78;1;2
744.84;1;2
748.98;1;2
753.0;1;2
756.65;2;2
758.45;2;2
761.14;2;2
761.14;2;2
762.06;2;2
762.17;2;2
765.0;2;2
768.88;2;2
772.57;2;2
776.35;2;2
779.93;2;2
783.75;2;2
787.57;2;2
791.31;2;2
795.17;2;2
798.84;2;2
802.56;2;2
806.37;2;2
810.18;2;2
814.09;2;2
817.91;2;2
821.59;2;2
825.32;2;2
829.17;2;2
832.93;2;2
836.72;2;2
840.51;2;2
844.32;2;2
848.07;2;2
851.85;2;2
855.82;2;2
859.55;2;2
863.3;2;2
867.13;2;2
870.96;2;2
874.84;2;2
878.66;2;2
882.4;2;2
886.18;2;2
889.92;2;2
893.66;2;2
897.5;2;2
901.35;2;2
905.17;2;2
908.96;2;2
912.81;2;2
916.53;2;2
920.3;2;2
924.0;2;2
927.77;2;2
931.49;2;2
935.34;2;2
939.11;2;2
942.93;2;2
946.93;2;2
950.81;2;2
954.52;2;2
958.26;2;2
961.94;2;2
965.71;2;2
969.42;2;3
971.14;2;3
973.7;2;3
976.06;2;3
976.09;2;3
976.6;2;3
979.85;2;3
983.47;2;3
986.97;2;3
990.29;2;3
993.82;2;3
997.47;2;3
1001.13;2;3
1004.69;2;3
1008.29;2;3
1011.88;2;3
1015.36;2;3
1018.96;2;3
1022.43;2;3
1026.1;2;3
1029.6;2;3
1033.16;2;3
1036.63;2;3
1040.21;2;3
1043.66;2;3
1047.12;2;3
1050.69;2;3
1054.28;2;3
1057.83;2;3
1061.39;2;3
1065.01;2;3
1068.56;2;3
1072.08;2;3
1075.57;2;3
1079.2;2;3
1082.68;2;3
1086.17;2;3
1089.64;2;3
1093.38;2;3
1096.89;2;3
1100.29;2;3
1103.72;2;3
1107.2;2;3
1110.77;2;3
1114.3;2;3
1117.97;2;3
1121.63;2;3
1125.26;2;3
1128.79;2;3
1132.39;2;3
1135.97;2;3
1135.97;2;3
1139.5;2;3
1143.11;2;3
1146.65;2;3
1150.19;2;3
1153.78;2;3
1157.37;2;3
1161.08;2;3
1164.64;2;3
1168.1;3;3
1171.1;3;3
1172.71;3;3
1174.97;3;3
1175.92;3;3
1175.92;3;3
1177.45;3;3
1180.78;3;3
1184.15;3;3
1187.52;3;3
1190.81;3;3
1194.13;3;3
1197.51;3;3
1200.78;3;3
1204.19;3;3
1207.54;3;3
1210.84;3;3
1214.27;3;3
1217.61;3;3
1220.87;3;3
1224.21;3;3
1227.67;3;3
1231.18;3;3
1234.65;3;3
1238.05;3;3
1241.44;3;3
1244.75;3;3
1248.09;3;3
1251.39;3;3
1254.65;3;3
1257.88;3;3
1261.1;3;3
1264.37;3;3
1267.8;3;3
1271.15;3;3
1274.39;3;3
1277.62;3;3
1281.07;3;3
1284.39;3;3
1287.72;3;3
1291.03;3;3
1294.42;3;3
1297.88;3;3
1301.13;3;3
1304.36;3;3
1307.53;3;3
1310.82;3;3
1314.01;3;3
1317.26;3;3
1320.58;3;3
1324.02;3;3
1327.57;3;3
1331.15;3;3
1334.48;3;3
1337.86;3;3
1341.11;3;3
1344.52;3;3
1347.92;3;3
1351.2;3;3
1354.7;3;3
1358.0;3;4
1359.33;3;4
1361.33;3;4
1363.45;3;4
1363.48;3;4
1363.48;3;4
1365.75;3;4
1369.0;3;4
1372.31;3;4
1375.29;3;4
1378.33;3;4
1381.26;3;4
1384.29;3;4
1387.25;3;4
1390.35;3;4
1393.46;3;4
1396.36;3;4
1399.48;3;4
1402.56;3;4
1405.7;3;4
1408.78;3;4
1411.87;3;4
1414.9;3;4
1417.92;3;4
1420.86;3;4
1423.94;3;4
1426.87;3;4
1426.87;3;4
1429.91;3;4
1433.2;3;4
1436.21;3;4
1439.28;3;4
1442.59;3;4
1445.75;3;4
1448.99;3;4
1452.3;3;4
1455.26;3;4
1458.2;3;4
1461.3;3;4
1464.57;3;4
1467.62;3;4
1470.71;3;4
1474.1;3;4
1477.15;3;4
1480.21;3;4
1483.03;3;4
1486.05;3;4
1489.0;3;4
1492.05;3;4
1495.27;3;4
1498.39;3;4
1501.65;3;4
1504.71;3;4
1507.72;3;4
1510.87;3;4
1514.03;3;4
1517.11;3;4
1520.38;3;4
1523.46;3;4
1526.53;3;4
1529.82;4;4
1532.09;4;4
1533.57;4;4
1535.67;4;4
1536.41;4;4
1536.41;4;4
1537.1;4;4
1539.94;4;4
1542.8;4;4
1545.5;4;4
1548.35;4;4
1551.44;4;4
1554.29;4;4
1557.18;4;4
1559.98;4;4
1562.85;4;4
1565.77;4;4
1568.98;4;4
1571.81;4;4
1574.75;4;4
1577.49;4;4
1580.34;4;4
1583.03;4;4
1585.99;4;4
1588.81;4;4
1591.67;4;4
1594.62;4;4
1597.46;4;4
1600.12;4;4
1602.9;4;4
1605.65;4;4
1608.4;4;4
1611.18;4;4
1614.05;4;4
1617.02;4;4
1619.81;4;4
1622.58;4;4
1625.59;4;4
