cpu0;r_a1;r_a2
0.0;0;0
4.94;0;0
9.89;0;0
14.81;0;1
17.25;0;1
20.4;0;1
23.38;0;1
23.42;0;1
26.05;0;1
30.62;0;1
35.27;0;1
39.88;0;1
44.38;0;1
48.93;0;1
53.55;0;1
58.18;0;1
62.77;0;1
67.38;0;1
71.95;0;1
76.57;0;1
81.14;0;1
85.74;0;1
90.35;0;1
94.93;0;1
99.49;0;1
104.11;0;1
108.73;0;1
113.35;0;1
117.96;0;1
122.56;0;1
127.16;0;1
131.74;0;1
136.35;0;1
140.93;0;1
145.52;0;1
150.12;0;1
154.71;0;1
159.31;0;1
163.93;0;1
168.44;0;1
173.07;0;1
177.7;0;1
182.31;0;1
186.95;0;1
191.53;0;1
196.15;0;1
200.79;0;1
205.38;0;1
209.99;0;1
214.62;0;1
219.25;0;1
223.85;0;1
228.46;0;1
233.1;0;1
237.67;0;1
242.26;0;1
246.89;0;1
251.47;0;1
256.1;0;1
260.67;0;1
265.31;0;1
269.96;0;1
274.61;0;1
279.2;1;1
280.99;1;1
284.14;1;1
284.72;1;1
285.36;1;1
289.31;1;1
293.6;1;1
297.9;1;1
302.22;1;1
306.44;1;1
310.79;1;1
315.07;1;1
319.4;1;1
323.7;1;1
327.96;1;1
332.26;1;1
336.54;1;1
340.83;1;1
345.13;1;1
349.47;1;1
353.77;1;1
358.01;1;1
362.36;1;1
366.66;1;1
370.98;1;1
375.35;1;1
379.65;1;1
383.99;1;1
388.32;1;1
392.6;1;1
396.89;1;1
401.09;1;1
405.36;1;1
409.71;1;1
414.1;1;1
418.44;1;1
422.72;1;1
427.03;1;1
431.35;1;1
435.65;1;1
439.99;1;1
444.32;1;1
448.61;1;1
452.94;1;1
457.26;1;1
461.62;1;1
465.94;1;1
470.21;1;1
474.53;1;1
478.87;1;1
483.19;1;1
487.5;1;1
491.86;1;1
496.21;1;1
500.49;1;1
504.81;1;1
509.11;1;1
513.53;1;1
517.93;1;1
522.23;1;1
524.95;1;2
527.83;1;2
529.82;1;2
529.82;1;2
529.82;1;2
531.93;1;2
535.93;1;2
539.94;1;2
543.99;1;2
547.9;1;2
551.95;1;2
556.03;1;2
560.08;1;2
564.04;1;2
568.09;1;2
572.19;1;2
576.34;1;2
580.38;1;2
584.39;1;2
588.47;1;2
592.47;1;2
596.52;1;2
600.68;1;2
604.7;1;2
608.76;1;2
612.83;1;2
616.87;1;2
620.9;1;2
624.87;1;2
628.85;1;2
632.87;1;2
636.87;1;2
640.87;1;2
644.93;1;2
648.96;1;2
653.04;1;2
657.14;1;2
661.23;1;2
665.4;1;2
669.44;1;2
673.48;1;2
677.63;1;2
681.75;1;2
685.79;1;2
689.74;1;2
693.79;1;2
697.82;1;2
701.88;1;2
705.93;1;2
710.03;1;2
714.11;1;2
718.12;1;2
722.08;1;2
726.17;1;2
730.28;1;2
734.38;1;2
738.46;1;2
742.59;1;2
746.68;1;2
750.7;1;2
754.71;2;2
756.28;2;2
758.92;2;2
759.86;2;2
760.02;2;2
763.13;2;2
767.06;2;2
770.98;2;2
774.89;2;2
778.52;2;2
782.33;2;2
786.16;2;2
789.99;2;2
793.74;2;2
797.62;2;2
801.44;2;2
805.23;2;2
809.02;2;2
812.84;2;2
816.61;2;2
820.43;2;2
824.29;2;2
828.15;2;2
831.94;2;2
835.76;2;2
839.58;2;2
843.46;2;2
847.24;2;2
851.09;2;2
854.98;2;2
858.8;2;2
862.52;2;2
866.28;2;2
870.06;2;2
873.9;2;2
877.7;2;2
881.59;2;2
885.31;2;2
889.23;2;2
893.11;2;2
896.94;2;2
900.69;2;2
904.4;2;2
908.16;2;2
911.92;2;2
915.8;2;2
919.66;2;2
923.51;2;2
927.39;2;2
931.19;2;2
935.06;2;2
938.9;2;2
942.64;2;2
946.47;2;2
950.34;2;2
954.21;2;2
958.03;2;2
961.83;2;2
965.64;2;2
969.55;2;2
969.55;2;3
972.09;2;3
974.4;2;3
976.9;2;3
977.26;2;3
977.44;2;3
980.36;2;3
983.86;2;3
987.61;2;3
991.14;2;3
994.69;2;3
998.21;2;3
1001.78;2;3
1005.44;2;3
1009.04;2;3
1012.63;2;3
1016.22;2;3
1019.85;2;3
1023.47;2;3
1027.05;2;3
1030.61;2;3
1034.18;2;3
1037.72;2;3
1041.27;2;3
1044.79;2;3
1048.4;2;3
1051.93;2;3
1055.4;2;3
1059.03;2;3
1062.69;2;3
1066.25;2;3
1069.85;2;3
1073.44;2;3
1076.98;2;3
1080.61;2;3
1084.06;2;3
1087.56;2;3
1091.17;2;3
1094.81;2;3
1098.41;2;3
1101.9;2;3
1105.52;2;3
1109.17;2;3
1112.76;2;3
1116.32;2;3
1119.83;2;3
1123.3;2;3
1126.95;2;3
1130.49;2;3
1134.17;2;3
1137.65;2;3
1141.1;2;3
1144.67;2;3
1148.2;2;3
1151.69;2;3
1155.1;2;3
1158.53;2;3
1162.05;2;3
1165.63;2;3
1169.24;2;3
1172.85;3;3
1174.17;3;3
1176.54;3;3
1178.12;3;3
1178.15;3;3
1179.02;3;3
1182.29;3;3
1185.62;3;3
1189.1;3;3
1192.34;3;3
1195.75;3;3
1199.15;3;3
1202.36;3;3
1205.65;3;3
1209.01;3;3
1212.37;3;3
1215.7;3;3
1219.07;3;3
1222.32;3;3
1225.63;3;3
1228.83;3;3
1231.99;3;3
1235.19;3;3
1238.44;3;3
1241.69;3;3
1245.03;3;3
1248.45;3;3
1251.78;3;3
1255.11;3;3
1258.47;3;3
1261.84;3;3
1265.2;3;3
1268.63;3;3
1272.17;3;3
1275.47;3;3
1278.9;3;3
1282.32;3;3
1285.56;3;3
1288.98;3;3
1288.98;3;3
1292.27;3;3
1295.55;3;3
1298.9;3;3
1302.25;3;3
1305.54;3;3
1308.82;3;3
1312.15;3;3
1315.55;3;3
1318.84;3;3
1322.22;3;3
1325.45;3;3
1328.87;3;3
1332.29;3;3
1335.54;3;3
1338.81;3;3
1342.0;3;3
1345.27;3;3
1348.67;3;3
1351.92;3;3
1355.21;3;3
1358.44;3;4
1360.22;3;4
1362.07;3;4
1363.98;3;4
1364.0;3;4
1364.0;3;4
1366.19;3;4
1369.28;3;4
1372.35;3;4
1375.14;3;4
1378.14;3;4
1381.3;3;4
1384.46;3;4
1387.54;3;4
1390.73;3;4
1393.91;3;4
1396.99;3;4
1400.05;3;4
1403.18;3;4
1406.13;3;4
1409.25;3;4
1412.4;3;4
1415.49;3;4
1418.51;3;4
1421.63;3;4
1424.68;3;4
1427.76;3;4
1430.91;3;4
1433.9;3;4
1436.98;3;4
1440.24;3;4
1443.2;3;4
1446.22;3;4
1449.27;3;4
1452.45;3;4
1455.6;3;4
1458.64;3;4
1461.66;3;4
1464.8;3;4
1467.96;3;4
1471.09;3;4
1474.31;3;4
1477.51;3;4
1480.7;3;4
1483.84;3;4
1486.9;3;4
1490.01;3;4
1493.12;3;4
1496.23;3;4
1499.47;3;4
1502.66;3;4
1505.95;3;4
1509.1;3;4
1512.32;3;4
1515.33;3;4
1518.39;3;4
1521.51;3;4
1524.84;3;4
1527.9;3;4
1531.0;3;4
1533.69;4;4
1534.57;4;4
1536.51;4;4
1537.21;4;4
1537.21;4;4
1537.21;4;4
1537.71;4;4
1540.33;4;4
1543.2;4;4
1546.02;4;4
1548.83;4;4
1551.65;4;4
1554.52;4;4
1557.18;4;4
1559.82;4;4
1562.7;4;4
1565.54;4;4
1568.36;4;4
1571.3;4;4
1574.02;4;4
1576.91;4;4
1579.85;4;4
1582.76;4;4
1585.81;4;4
1588.73;4;4
1591.71;4;4
1594.65;4;4
1597.68;4;4
1600.54;4;4
1603.45;4;4
1606.24;4;4
1609.18;4;4
1611.92;4;4
1614.75;4;4
1617.85;4;4
1620.83;4;4
1623.79;4;4
1626.73;4;4
1629.84;4;4
1632.92;4;4
1635.78;4;4
1638.59;4;4
1641.47;4;4
1644.26;4;4
1647.08;4;4
1650.0;4;4
1652.91;4;4
1655.94;4;4
1659.03;4;4
1661.82;4;4
1664.69;4;4
1667.36;4;4
1670.3;4;4
1673.18;4;4
1676.19;4;4
1679.17;4;4
1681.98;4;4
1684.93;4;4
1688.03;4;4
1691.09;4;4
1694.04;4;5
1694.72;4;5
1696.59;4;5
1697.88;4;5
1697.9;4;5
1697.9;4;5
1698.7;4;5
1701.34;4;5
1704.12;4;5
1706.6;4;5
1709.26;4;5
1711.94;4;5
1714.51;4;5
1717.36;4;5
1720.11;4;5
1722.87;4;5
1725.55;4;5
1728.15;4;5
1730.95;4;5
1733.61;4;5
1736.3;4;5
1738.98;4;5
1741.72;4;5
1744.29;4;5
1746.89;4;5
1746.89;4;5
1749.49;4;5
1752.07;4;5
1754.73;4;5
1757.4;4;5
1760.22;4;5
1763.05;4;5
1765.95;4;5
1768.64;4;5
1771.46;4;5
1774.21;4;5
1777.02;4;5
1779.5;4;5
1782.26;4;5
1784.91;4;5
1787.6;4;5
1790.3;4;5
1793.02;4;5
1795.67;4;5
1798.31;4;5
1800.93;4;5
1803.58;4;5
1806.31;4;5
1809.13;4;5
1811.78;4;5
1814.27;4;5
1817.12;4;5
1819.56;4;5
1822.42;4;5
1825.21;4;5
1827.85;4;5
1830.52;4;5
1833.06;4;5
1835.75;4;5
1838.49;4;5
1841.3;5;5
1842.67;5;5
1843.95;5;5
1845.62;5;5
1846.33;5;5
1846.33;5;5
1846.33;5;5
1847.31;5;5
1849.72;5;5
1852.06;5;5
1854.46;5;5
1857.02;5;5
1859.4;5;5
1861.91;5;5
1864.23;5;5
1866.79;5;5
1869.3;5;5
1871.94;5;5
1874.5;5;5
1876.91;5;5
1879.41;5;5
1881.84;5;5
1884.4;5;5
1886.86;5;5
1889.33;5;5
1891.82;5;5
1894.29;5;5
1896.78;5;5
1899.31;5;5
1901.89;5;5
1904.44;5;5
1906.88;5;5
1909.38;5;5
1911.95;5;5
1914.54;5;5
1917.25;5;5
1919.67;5;5
1922.31;5;5
1924.98;5;5
1927.39;5;5
1930.07;5;5
1932.79;5;5
1935.34;5;5
1935.34;5;5
1937.87;5;5
1940.44;5;5
1942.92;5;5
1945.39;5;5
1947.85;5;5
1950.19;5;5
1952.74;5;5
1955.24;5;5
1957.76;5;5
1960.33;5;5
1962.85;5;5
1965.22;5;5
1967.77;5;5
1970.26;5;5
1972.65;5;5
1975.25;5;5
1977.7;5;6
1979.47;5;6
1980.13;5;6
1981.69;5;6
1982.86;5;6
1982.88;5;6
1982.88;5;6
1982.88;5;6
1983.91;5;6
1985.98;5;6
1988.17;5;6
1990.33;5;6
1992.37;5;6
1994.55;5;6
1996.81;5;6
1999.01;5;6
2001.3;5;6
2003.69;5;6
2005.91;5;6
2008.28;5;6
2010.52;5;6
2012.73;5;6
2014.96;5;6
2017.04;5;6
2019.09;5;6
2021.35;5;6
2023.58;5;6
2025.84;5;6
2028.19;5;6
2030.34;5;6
2032.55;5;6
2034.81;5;6
2037.01;5;6
2039.05;5;6
2041.44;5;6
2043.7;5;6
2045.97;5;6
2048.3;5;6
2050.55;5;6
2052.95;5;6
2055.19;5;6
2057.57;5;6
2059.98;5;6
2062.35;5;6
2064.75;5;6
2067.01;5;6
2069.4;5;6
2071.58;5;6
2073.96;5;6
2076.2;5;6
2078.6;5;6
2080.92;5;6
2083.26;5;6
2083.26;5;6
2085.59;5;6
2087.59;5;6
2090.0;5;6
2092.09;5;6
2094.29;5;6
2096.54;5;6
2098.91;6;6
2100.82;6;6
2101.28;6;6
2102.4;6;6
2103.43;6;6
2103.45;6;6
2103.45;6;6
2103.45;6;6
2104.47;6;6
2106.47;6;6
2108.16;6;6
2110.12;6;6
2112.1;6;6
2114.06;6;6
2116.16;6;6
2118.13;6;6
2120.17;6;6
2122.38;6;6
2124.57;6;6
2126.56;6;6
2128.5;6;6
2130.5;6;6
2132.51;6;6
2134.48;6;6
2136.47;6;6
2138.54;6;6
2140.83;6;6
2142.93;6;6
2144.93;6;6
2147.08;6;6
2149.29;6;6
2151.41;6;6
2153.51;6;6
2155.7;6;6
2157.86;6;6
2159.8;6;6
2161.83;6;6
2163.72;6;6
2165.81;6;6
2167.64;6;6
2169.71;6;6
2171.58;6;6
2173.59;6;6
2175.69;6;6
2177.77;6;6
2179.84;6;6
2181.83;6;6
2183.86;6;6
2185.92;6;6
2187.9;6;6
2190.03;6;6
2192.05;6;6
2193.91;6;6
2195.85;6;6
2197.97;6;6
2199.91;6;6
2201.99;6;6
2203.89;6;6
2203.89;6;6
2206.03;6;6
2208.13;6;7
2210.12;6;7
2210.24;6;7
2211.22;6;7
2212.17;6;7
2212.54;6;7
2212.54;6;7
2212.54;6;7
2212.74;6;7
2214.09;6;7
2215.85;6;7
2217.59;6;7
2219.52;6;7
2221.39;6;7
2223.09;6;7
2224.75;6;7
2226.61;6;7
2228.58;6;7
2230.53;6;7
2232.39;6;7
2234.39;6;7
2236.3;6;7
2238.26;6;7
2239.92;6;7
2241.6;6;7
2243.4;6;7
2245.17;6;7
2246.86;6;7
2248.7;6;7
2250.7;6;7
2252.54;6;7
2254.24;6;7
2256.22;6;7
2258.04;6;7
2259.91;6;7
2261.82;6;7
2263.71;6;7
2265.64;6;7
2267.56;6;7
2269.45;6;7
2271.27;6;7
2273.19;6;7
2275.06;6;7
2277.06;6;7
2278.78;6;7
2280.75;6;7
2282.57;6;7
2284.4;6;7
2286.16;6;7
2288.03;6;7
2289.86;6;7
2291.6;6;7
2293.37;6;7
2295.2;6;7
2296.98;6;7
2298.7;6;7
2300.58;6;7
2302.43;6;7
2304.39;6;7
2306.32;6;7
2308.37;7;7
2308.68;7;7
2309.44;7;7
2309.44;7;7
2310.21;7;7
2310.61;7;7
2310.62;7;7
2310.62;7;7
2310.62;7;7
2311.22;7;7
2312.93;7;7
2314.61;7;7
2316.01;7;7
2317.51;7;7
2319.24;7;7
