cpu0;r_a1;r_a2
0.0;0;0
4.95;0;0
9.87;0;0
14.81;0;1
17.89;0;1
20.94;0;1
24.17;0;1
24.22;0;1
25.89;0;1
30.43;0;1
34.98;0;1
39.6;0;1
44.12;0;1
48.53;0;1
53.14;0;1
57.75;0;1
62.26;0;1
66.81;0;1
71.44;0;1
76.09;0;1
80.66;0;1
85.26;0;1
89.82;0;1
94.41;0;1
98.99;0;1
103.63;0;1
108.25;0;1
112.85;0;1
117.49;0;1
122.12;0;1
126.73;0;1
131.33;0;1
135.85;0;1
140.45;0;1
145.02;0;1
149.64;0;1
154.29;0;1
158.93;0;1
163.55;0;1
168.16;0;1
172.75;0;1
177.38;0;1
182.0;0;1
186.62;0;1
191.2;0;1
195.8;0;1
200.4;0;1
205.02;0;1
209.63;0;1
214.24;0;1
218.83;0;1
223.45;0;1
228.01;0;1
232.64;0;1
237.23;0;1
241.85;0;1
246.46;0;1
251.07;0;1
255.68;0;1
260.3;0;1
264.88;0;1
269.49;0;1
274.11;0;1
278.67;1;1
280.76;1;1
283.83;1;1
284.79;1;1
285.47;1;1
289.2;1;1
293.53;1;1
297.83;1;1
302.15;1;1
306.21;1;1
310.53;1;1
314.85;1;1
319.15;1;1
323.45;1;1
327.82;1;1
332.13;1;1
336.4;1;1
340.65;1;1
344.99;1;1
349.32;1;1
353.69;1;1
358.03;1;1
362.4;1;1
366.74;1;1
366.74;1;1
371.04;1;1
375.32;1;1
379.65;1;1
383.97;1;1
388.28;1;1
392.49;1;1
396.7;1;1
400.96;1;1
405.33;1;1
409.66;1;1
414.04;1;1
418.32;1;1
422.59;1;1
426.84;1;1
431.11;1;1
435.47;1;1
439.77;1;1
444.06;1;1
448.44;1;1
452.7;1;1
456.97;1;1
461.26;1;1
465.6;1;1
469.95;1;1
474.27;1;1
478.57;1;1
482.92;1;1
487.28;1;1
491.55;1;1
495.84;1;1
500.11;1;1
504.35;1;1
508.7;1;1
512.97;1;1
517.35;1;1
521.67;1;2
525.07;1;2
527.03;1;2
529.86;1;2
529.89;1;2
530.4;1;2
533.98;1;2
537.97;1;2
541.88;1;2
545.89;1;2
549.79;1;2
553.8;1;2
557.77;1;2
561.79;1;2
565.79;1;2
569.88;1;2
573.98;1;2
577.89;1;2
581.89;1;2
586.01;1;2
589.96;1;2
593.91;1;2
598.04;1;2
602.03;1;2
606.15;1;2
610.22;1;2
614.1;1;2
618.15;1;2
622.2;1;2
626.27;1;2
630.31;1;2
634.37;1;2
638.4;1;2
642.43;1;2
646.49;1;2
650.55;1;2
654.54;1;2
658.46;1;2
662.42;1;2
666.49;1;2
670.5;1;2
674.56;1;2
678.63;1;2
682.56;1;2
686.52;1;2
690.49;1;2
694.55;1;2
698.52;1;2
702.48;1;2
706.34;1;2
710.4;1;2
714.32;1;2
718.36;1;2
722.34;1;2
726.31;1;2
730.31;1;2
734.36;1;2
738.38;1;2
742.41;1;2
746.51;1;2
750.5;2;2
752.07;2;2
754.51;2;2
756.21;2;2
756.21;2;2
757.5;2;2
761.16;2;2
764.91;2;2
768.56;2;2
771.99;2;2
775.72;2;2
779.49;2;2
783.28;2;2
786.92;2;2
786.92;2;2
790.47;2;2
794.23;2;2
797.99;2;2
801.7;2;2
805.4;2;2
809.19;2;2
813.03;2;2
816.75;2;2
820.58;2;2
824.39;2;2
828.22;2;2
831.89;2;2
835.73;2;2
839.6;2;2
843.41;2;2
847.15;2;2
850.78;2;2
854.46;2;2
858.35;2;2
862.2;2;2
866.06;2;2
869.92;2;2
873.69;2;2
877.39;2;2
881.09;2;2
884.9;2;2
888.64;2;2
892.47;2;2
896.25;2;2
900.06;2;2
903.95;2;2
907.73;2;2
911.51;2;2
915.35;2;2
919.15;2;2
923.06;2;2
926.83;2;2
930.5;2;2
934.33;2;2
938.24;2;2
942.01;2;2
945.72;2;2
949.47;2;2
953.33;2;2
957.09;2;2
960.95;2;3
963.82;2;3
965.52;2;3
967.65;2;3
967.99;2;3
967.99;2;3
970.0;2;3
973.57;2;3
977.1;2;3
980.51;2;3
984.05;2;3
987.65;2;3
991.09;2;3
994.72;2;3
998.38;2;3
1001.94;2;3
1005.38;2;3
1008.93;2;3
1012.48;2;3
1016.05;2;3
1019.59;2;3
1022.93;2;3
1026.54;2;3
1030.11;2;3
1033.65;2;3
1037.21;2;3
1040.82;2;3
1044.39;2;3
1047.95;2;3
1051.59;2;3
1055.19;2;3
1058.62;2;3
1062.24;2;3
1065.82;2;3
1069.35;2;3
1072.91;2;3
1076.53;2;3
1079.98;2;3
1083.5;2;3
1087.21;2;3
1090.56;2;3
1094.09;2;3
1097.59;2;3
1101.07;2;3
1104.68;2;3
1108.04;2;3
1111.6;2;3
1115.16;2;3
1118.85;2;3
1122.31;2;3
1125.77;2;3
1129.42;2;3
1129.42;2;3
1132.82;2;3
1136.29;2;3
1139.82;2;3
1143.31;2;3
1146.77;2;3
1150.29;2;3
1153.85;2;3
1157.35;3;3
1160.82;3;3
1161.95;3;3
1163.99;3;3
1165.27;3;3
1165.27;3;3
1165.68;3;3
1168.23;3;3
1171.48;3;3
1174.77;3;3
1177.9;3;3
1181.2;3;3
1184.49;3;3
1187.89;3;3
1191.22;3;3
1194.54;3;3
1197.76;3;3
1200.86;3;3
1204.15;3;3
1207.48;3;3
1210.65;3;3
1213.85;3;3
1217.14;3;3
1220.37;3;3
1223.69;3;3
1226.63;3;3
1229.77;3;3
1233.12;3;3
1236.38;3;3
1239.6;3;3
1242.64;3;3
1245.78;3;3
1249.02;3;3
1252.16;3;3
1255.62;3;3
1258.95;3;3
1262.15;3;3
1265.36;3;3
1268.65;3;3
1271.9;3;3
1275.03;3;3
1278.44;3;3
1281.91;3;3
1285.17;3;3
1288.59;3;3
1291.8;3;3
1295.25;3;3
1298.58;3;3
1301.74;3;3
1304.99;3;3
1308.35;3;3
1311.7;3;3
1315.13;3;3
1318.39;3;3
1321.6;3;3
1325.0;3;3
1328.28;3;3
1331.48;3;3
1334.74;3;3
1338.09;3;3
1341.49;3;4
1343.36;3;4
1344.99;3;4
1347.05;3;4
1347.07;3;4
1347.07;3;4
1348.76;3;4
1351.86;3;4
1355.03;3;4
1357.87;3;4
1360.96;3;4
1363.97;3;4
1366.9;3;4
1369.96;3;4
1373.06;3;4
1376.23;3;4
1379.38;3;4
1382.33;3;4
1385.42;3;4
1388.51;3;4
1391.59;3;4
1394.72;3;4
1394.72;3;4
1397.81;3;4
1400.87;3;4
1404.14;3;4
1407.1;3;4
1410.14;3;4
1413.24;3;4
1416.33;3;4
1419.35;3;4
1422.4;3;4
1425.39;3;4
1428.51;3;4
1431.65;3;4
1434.68;3;4
1437.73;3;4
1440.81;3;4
1443.68;3;4
1446.93;3;4
1450.09;3;4
1453.2;3;4
1456.32;3;4
1459.55;3;4
1462.57;3;4
1465.61;3;4
1468.82;3;4
1471.85;3;4
1474.88;3;4
1477.9;3;4
1480.91;3;4
1484.03;3;4
1487.08;3;4
1490.17;3;4
1493.35;3;4
1496.46;3;4
1499.57;3;4
1502.55;3;4
1505.69;3;4
1508.91;3;4
1512.16;4;4
1514.73;4;4
1515.73;4;4
1517.52;4;4
1518.85;4;4
1518.88;4;4
1519.05;4;4
1521.23;4;4
1524.26;4;4
1527.21;4;4
1530.02;4;4
1532.91;4;4
1535.85;4;4
1538.58;4;4
1541.39;4;4
1544.22;4;4
1547.13;4;4
1549.99;4;4
1553.08;4;4
1555.85;4;4
1558.66;4;4
1561.6;4;4
1564.51;4;4
1567.48;4;4
1570.43;4;4
1573.28;4;4
1576.07;4;4
1578.93;4;4
1581.76;4;4
1584.58;4;4
1587.58;4;4
1590.43;4;4
1593.23;4;4
1596.23;4;4
1599.19;4;4
1602.01;4;4
1604.75;4;4
1607.49;4;4
1610.3;4;4
