time;memory_free;r_a1;r_a2
1.666.825.468.602;0;0;0
1.666.825.468.602;-32768;0;0
1.666.825.468.602;131072;0;0
1.666.825.468.602;32768;0;0
1.666.825.468.602;-32768;0;1
1.666.825.468.602;57176064;0;1
1.666.825.468.602;7184384;0;1
1.666.825.468.602;74932224;0;1
1.666.825.468.602;206905344;0;1
1.666.825.468.602;220237824;0;1
1.666.825.468.602;220299264;0;1
1.666.825.468.602;220712960;0;1
1.666.825.468.602;220647424;0;1
1.666.825.468.602;220491776;0;1
1.666.825.468.602;220360704;0;1
1.666.825.468.602;220459008;0;1
1.666.825.468.602;220524544;0;1
1.666.825.468.602;221028352;0;1
1.666.825.468.602;221126656;0;1
1.666.825.468.602;221224960;0;1
1.666.825.468.602;221093888;0;1
1.666.825.468.602;221061120;0;1
1.666.825.468.602;221159424;0;1
1.666.825.468.602;221093888;0;1
1.666.825.468.602;221126656;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221380608;0;1
1.666.825.468.602;221446144;0;1
1.666.825.468.602;221347840;0;1
1.666.825.468.602;221446144;0;1
1.666.825.468.602;221315072;0;1
1.666.825.468.602;221380608;0;1
1.666.825.468.602;221446144;0;1
1.666.825.468.602;221282304;0;1
1.666.825.468.602;221347840;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221315072;0;1
1.666.825.468.602;221573120;0;1
1.666.825.468.602;221409280;0;1
1.666.825.468.602;221474816;0;1
1.666.825.468.602;221573120;0;1
1.666.825.468.602;221728768;0;1
1.666.825.468.602;221794304;0;1
1.666.825.468.602;221663232;0;1
1.666.825.468.602;221794304;0;1
1.666.825.468.602;221446144;0;1
1.666.825.468.602;221351936;0;1
1.666.825.468.602;221220864;0;1
1.666.825.468.602;221384704;0;1
1.666.825.468.602;221347840;0;1
1.666.825.468.602;221413376;0;1
1.666.825.468.602;221315072;0;1
1.666.825.468.602;221380608;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221413376;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221347840;0;1
1.666.825.468.602;221413376;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221220864;0;1
1.666.825.468.602;221351936;0;1
1.666.825.468.602;221347840;0;1
1.666.825.468.602;221413376;0;1
1.666.825.468.602;221478912;0;1
1.666.825.468.602;221446144;1;1
1.666.825.468.602;227999744;1;1
1.666.825.468.602;227995648;1;1
1.666.825.468.602;419110912;1;1
1.666.825.468.602;439169024;1;1
1.666.825.468.602;440483840;1;1
1.666.825.468.602;440614912;1;1
1.666.825.468.602;440848384;1;1
1.666.825.468.602;440815616;1;1
1.666.825.468.602;441516032;1;1
1.666.825.468.602;441516032;1;1
1.666.825.468.602;441614336;1;1
1.666.825.468.602;441614336;1;1
1.666.825.468.602;442314752;1;1
1.666.825.468.602;442314752;1;1
1.666.825.468.602;442314752;1;1
1.666.825.468.602;442150912;1;1
1.666.825.468.602;442376192;1;1
1.666.825.468.602;442310656;1;1
1.666.825.468.602;442310656;1;1
1.666.825.468.602;442376192;1;1
1.666.825.468.602;442503168;1;1
1.666.825.468.602;442535936;1;1
1.666.825.468.602;442503168;1;1
1.666.825.468.602;442601472;1;1
1.666.825.468.602;442695680;1;1
1.666.825.468.602;442499072;1;1
1.666.825.468.602;442564608;1;1
1.666.825.468.602;442531840;1;1
1.666.825.468.602;442662912;1;1
1.666.825.468.602;442695680;1;1
1.666.825.468.602;442662912;1;1
1.666.825.468.602;442499072;1;1
1.666.825.468.602;442658816;1;1
1.666.825.468.602;442658816;1;1
1.666.825.468.602;442691584;1;1
1.666.825.468.602;442691584;1;1
1.666.825.468.602;442691584;1;1
1.666.825.468.602;442978304;1;1
1.666.825.468.602;442978304;1;1
1.666.825.468.602;442978304;1;1
1.666.825.468.602;443011072;1;1
1.666.825.468.602;442564608;1;1
1.666.825.468.602;442564608;1;1
1.666.825.468.602;442531840;1;1
1.666.825.468.602;442597376;1;1
1.666.825.468.602;442564608;1;1
1.666.825.468.602;442597376;1;1
1.666.825.468.602;442597376;1;1
1.666.825.468.602;442630144;1;1
1.666.825.468.602;442695680;1;1
1.666.825.468.602;442531840;1;1
1.666.825.468.602;442531840;1;1
1.666.825.468.602;442531840;1;1
1.666.825.468.602;442789888;1;1
1.666.825.468.602;442822656;1;1
1.666.825.468.602;442789888;1;1
1.666.825.468.602;442789888;1;1
1.666.825.468.602;442949632;1;1
1.666.825.468.602;442916864;1;1
1.666.825.468.602;442753024;1;2
1.666.825.468.602;449732608;1;2
1.666.825.468.602;460849152;1;2
1.666.825.468.602;456044544;1;2
1.666.825.468.602;670769152;1;2
1.666.825.468.602;660856832;1;2
1.666.825.468.602;662708224;1;2
1.666.825.468.602;663441408;1;2
1.666.825.468.602;663498752;1;2
1.666.825.468.602;663887872;1;2
1.666.825.468.602;663822336;1;2
1.666.825.468.602;663789568;1;2
1.666.825.468.602;663986176;1;2
1.666.825.468.602;664494080;1;2
1.666.825.468.602;664461312;1;2
1.666.825.468.602;664301568;1;2
1.666.825.468.602;664268800;1;2
1.666.825.468.602;664236032;1;2
1.666.825.468.602;664293376;1;2
1.666.825.468.602;664334336;1;2
1.666.825.468.602;664268800;1;2
1.666.825.468.602;664363008;1;2
1.666.825.468.602;664461312;1;2
1.666.825.468.602;664395776;1;2
1.666.825.468.602;664363008;1;2
1.666.825.468.602;664838144;1;2
1.666.825.468.602;665001984;1;2
1.666.825.468.602;665001984;1;2
1.666.825.468.602;664903680;1;2
1.666.825.468.602;664457216;1;2
1.666.825.468.602;664547328;1;2
1.666.825.468.602;664612864;1;2
1.666.825.468.602;664481792;1;2
1.666.825.468.602;664580096;1;2
1.666.825.468.602;664547328;1;2
1.666.825.468.602;664489984;1;2
1.666.825.468.602;664424448;1;2
1.666.825.468.602;664588288;1;2
1.666.825.468.602;664555520;1;2
1.666.825.468.602;664522752;1;2
1.666.825.468.602;664424448;1;2
1.666.825.468.602;664453120;1;2
1.666.825.468.602;664195072;1;2
1.666.825.468.602;664326144;1;2
1.666.825.468.602;664260608;1;2
1.666.825.468.602;664367104;1;2
1.666.825.468.602;664301568;1;2
