time;memory_free;r_a1;r_a2
1.666.738.395.324;-666890240;1;2
1.666.738.395.324;-666984448;1;2
1.666.738.395.324;-666951680;1;2
1.666.738.395.324;-667082752;1;2
1.666.738.395.324;-667017216;1;2
1.666.738.395.324;-667082752;1;2
1.666.738.395.324;-667049984;1;2
1.666.738.395.324;-667181056;1;2
1.666.738.395.324;-667049984;1;2
1.666.738.395.324;-667123712;1;2
1.666.738.395.324;-667049984;1;2
1.666.738.395.324;-666984448;1;2
1.666.738.395.324;-666984448;1;2
1.666.738.395.324;-667082752;1;2
1.666.738.395.324;-667082752;1;2
1.666.738.395.324;-667115520;1;2
1.666.738.395.324;-667115520;1;2
1.666.738.395.324;-667049984;1;2
1.666.738.395.324;-666890240;1;2
1.666.738.395.324;-666796032;1;2
1.666.738.395.324;-666697728;1;2
1.666.738.395.324;-666828800;1;2
1.666.738.395.324;-666636288;1;2
1.666.738.395.324;-666537984;1;2
1.666.738.395.324;-666734592;1;2
1.666.738.395.324;-666734592;1;2
1.666.738.395.324;-666669056;1;2
1.666.738.395.324;-666603520;1;2
1.666.738.395.324;-666669056;1;2
1.666.738.395.324;-666669056;1;2
1.666.738.395.324;-666636288;1;2
1.666.738.395.324;-666734592;1;2
1.666.738.395.324;-666570752;1;2
1.666.738.395.324;-666669056;1;2
1.666.738.395.324;-666734592;1;2
1.666.738.395.324;-666701824;1;2
1.666.738.395.324;-666636288;1;2
1.666.738.395.324;-666636288;1;2
1.666.738.395.324;-674197504;2;2
1.666.738.395.324;-674328576;2;2
1.666.738.395.324;-774221824;2;2
1.666.738.395.324;-883073024;2;2
1.666.738.395.324;-887934976;2;2
1.666.738.395.324;-887988224;2;2
1.666.738.395.324;-888836096;2;2
1.666.738.395.324;-889257984;2;2
1.666.738.395.324;-889290752;2;2
1.666.738.395.324;-889380864;2;2
1.666.738.395.324;-889389056;2;2
1.666.738.395.324;-889614336;2;2
1.666.738.395.324;-889614336;2;2
1.666.738.395.324;-889823232;2;2
1.666.738.395.324;-889954304;2;2
1.666.738.395.324;-890028032;2;2
1.666.738.395.324;-890310656;2;2
1.666.738.395.324;-890318848;2;2
1.666.738.395.324;-890335232;2;2
1.666.738.395.324;-890335232;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890908672;2;2
1.666.738.395.324;-890818560;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890908672;2;2
1.666.738.395.324;-890785792;2;2
1.666.738.395.324;-890937344;2;2
1.666.738.395.324;-891068416;2;2
1.666.738.395.324;-891043840;2;2
1.666.738.395.324;-891043840;2;2
1.666.738.395.324;-891031552;2;2
1.666.738.395.324;-890937344;2;2
1.666.738.395.324;-891068416;2;2
1.666.738.395.324;-891047936;2;2
1.666.738.395.324;-891035648;2;2
1.666.738.395.324;-890970112;2;2
1.666.738.395.324;-891043840;2;2
1.666.738.395.324;-891072512;2;2
1.666.738.395.324;-891170816;2;2
1.666.738.395.324;-890810368;2;2
1.666.738.395.324;-890777600;2;2
1.666.738.395.324;-890785792;2;2
1.666.738.395.324;-890818560;2;2
1.666.738.395.324;-890818560;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890712064;2;2
1.666.738.395.324;-890810368;2;2
1.666.738.395.324;-890875904;2;2
1.666.738.395.324;-890777600;2;2
1.666.738.395.324;-890908672;2;2
1.666.738.395.324;-890744832;2;2
1.666.738.395.324;-890851328;2;2
1.666.738.395.324;-890875904;2;2
1.666.738.395.324;-890818560;2;2
1.666.738.395.324;-890810368;2;2
1.666.738.395.324;-890908672;2;2
1.666.738.395.324;-890908672;2;2
1.666.738.395.324;-890777600;2;2
1.666.738.395.324;-901529600;2;3
1.666.738.395.324;-945913856;2;3
1.666.738.395.324;-901570560;2;3
1.666.738.395.324;-1067720704;2;3
1.666.738.395.324;-1108516864;2;3
1.666.738.395.324;-1112133632;2;3
1.666.738.395.324;-1112821760;2;3
1.666.738.395.324;-1113391104;2;3
1.666.738.395.324;-1113530368;2;3
1.666.738.395.324;-1113554944;2;3
1.666.738.395.324;-1113464832;2;3
1.666.738.395.324;-1113489408;2;3
1.666.738.395.324;-1113497600;2;3
1.666.738.395.324;-1113489408;2;3
1.666.738.395.324;-1113497600;2;3
1.666.738.395.324;-1113903104;2;3
1.666.738.395.324;-1113739264;2;3
1.666.738.395.324;-1113903104;2;3
1.666.738.395.324;-1113870336;2;3
1.666.738.395.324;-1113964544;2;3
1.666.738.395.324;-1114030080;2;3
1.666.738.395.324;-1114071040;2;3
1.666.738.395.324;-1114030080;2;3
1.666.738.395.324;-1114071040;2;3
1.666.738.395.324;-1114038272;2;3
1.666.738.395.324;-1113907200;2;3
1.666.738.395.324;-1113931776;2;3
1.666.738.395.324;-1114066944;2;3
1.666.738.395.324;-1114091520;2;3
1.666.738.395.324;-1113931776;2;3
1.666.738.395.324;-1114030080;2;3
1.666.738.395.324;-1114251264;2;3
1.666.738.395.324;-1114152960;2;3
1.666.738.395.324;-1114226688;2;3
1.666.738.395.324;-1114198016;2;3
1.666.738.395.324;-1114189824;2;3
1.666.738.395.324;-1114222592;2;3
1.666.738.395.324;-1114157056;2;3
1.666.738.395.324;-1114058752;2;3
1.666.738.395.324;-1114226688;2;3
1.666.738.395.324;-1114124288;2;3
1.666.738.395.324;-1114058752;2;3
1.666.738.395.324;-1114091520;2;3
1.666.738.395.324;-1114316800;2;3
1.666.738.395.324;-1114259456;2;3
1.666.738.395.324;-1114259456;2;3
1.666.738.395.324;-1114218496;2;3
1.666.738.395.324;-1114218496;2;3
1.666.738.395.324;-1114411008;2;3
1.666.738.395.324;-1114419200;2;3
1.666.738.395.324;-1114443776;2;3
1.666.738.395.324;-1114411008;2;3
1.666.738.395.324;-1114701824;2;3
1.666.738.395.324;-1114726400;2;3
1.666.738.395.324;-1114734592;2;3
