time;memory_free;r_a1;r_a2
1.666.775.481.803;0;0;0
1.666.775.481.803;-32768;0;0
1.666.775.481.803;4096;0;0
1.666.775.481.803;1081344;0;0
1.666.775.481.803;-6156288;0;1
1.666.775.481.803;-6414336;0;1
1.666.775.481.803;-6414336;0;1
1.666.775.481.803;-6316032;0;1
1.666.775.481.803;-5967872;0;1
1.666.775.481.803;-5779456;0;1
1.666.775.481.803;-5779456;0;1
1.666.775.481.803;-5648384;0;1
1.666.775.481.803;-5713920;0;1
1.666.775.481.803;-5746688;0;1
1.666.775.481.803;-6160384;0;1
1.666.775.481.803;-6225920;0;1
1.666.775.481.803;-6062080;0;1
1.666.775.481.803;-6127616;0;1
1.666.775.481.803;-7921664;0;1
1.666.775.481.803;-7917568;0;1
1.666.775.481.803;-8282112;0;1
1.666.775.481.803;-8347648;0;1
1.666.775.481.803;-8413184;0;1
1.666.775.481.803;-8572928;0;1
1.666.775.481.803;-8282112;0;1
1.666.775.481.803;-8093696;0;1
1.666.775.481.803;-8126464;0;1
1.666.775.481.803;-8192000;0;1
1.666.775.481.803;-8060928;0;1
1.666.775.481.803;-8060928;0;1
1.666.775.481.803;-8540160;0;1
1.666.775.481.803;-8572928;0;1
1.666.775.481.803;-8441856;0;1
1.666.775.481.803;-8474624;0;1
1.666.775.481.803;-8126464;0;1
1.666.775.481.803;-8572928;0;1
1.666.775.481.803;-8409088;0;1
1.666.775.481.803;-8409088;0;1
1.666.775.481.803;-8441856;0;1
1.666.775.481.803;-8540160;0;1
1.666.775.481.803;-8572928;0;1
1.666.775.481.803;-7933952;0;1
1.666.775.481.803;-7999488;0;1
1.666.775.481.803;-7999488;0;1
1.666.775.481.803;-8065024;0;1
1.666.775.481.803;-7901184;0;1
1.666.775.481.803;-8093696;0;1
1.666.775.481.803;-8093696;0;1
1.666.775.481.803;-8159232;0;1
1.666.775.481.803;-8159232;0;1
1.666.775.481.803;-8060928;0;1
1.666.775.481.803;-8060928;0;1
1.666.775.481.803;-8286208;0;1
1.666.775.481.803;-8318976;0;1
1.666.775.481.803;-8155136;0;1
1.666.775.481.803;-8220672;0;1
1.666.775.481.803;-8220672;0;1
1.666.775.481.803;-8572928;0;1
1.666.775.481.803;-8376320;0;1
1.666.775.481.803;-8474624;0;1
1.666.775.481.803;-8474624;0;1
1.666.775.481.803;-8540160;0;1
1.666.775.481.803;-8445952;0;1
1.666.775.481.803;-8314880;0;1
1.666.775.481.803;-8380416;1;1
1.666.775.481.803;-8413184;1;1
1.666.775.481.803;-8445952;1;1
1.666.775.481.803;-8536064;1;1
1.666.775.481.803;-8601600;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8667136;1;1
1.666.775.481.803;-8536064;1;1
1.666.775.481.803;-8187904;1;1
1.666.775.481.803;-8220672;1;1
1.666.775.481.803;-8237056;1;1
1.666.775.481.803;-8286208;1;1
1.666.775.481.803;-8155136;1;1
1.666.775.481.803;-8220672;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8761344;1;1
1.666.775.481.803;-8826880;1;1
1.666.775.481.803;-8663040;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8540160;1;1
1.666.775.481.803;-8540160;1;1
1.666.775.481.803;-8441856;1;1
1.666.775.481.803;-8441856;1;1
1.666.775.481.803;-8540160;1;1
1.666.775.481.803;-8699904;1;1
1.666.775.481.803;-8536064;1;1
1.666.775.481.803;-8568832;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8572928;1;1
1.666.775.481.803;-8314880;1;1
1.666.775.481.803;-8347648;1;1
1.666.775.481.803;-8413184;1;1
1.666.775.481.803;-8445952;1;1
1.666.775.481.803;-8314880;1;1
1.666.775.481.803;-8728576;1;1
1.666.775.481.803;-8794112;1;1
1.666.775.481.803;-8826880;1;1
1.666.775.481.803;-8663040;1;1
1.666.775.481.803;-8728576;1;1
1.666.775.481.803;-8634368;1;1
1.666.775.481.803;-8699904;1;1
1.666.775.481.803;-8536064;1;1
1.666.775.481.803;-8601600;1;1
1.666.775.481.803;-8601600;1;1
1.666.775.481.803;-8413184;1;1
1.666.775.481.803;-8445952;1;1
1.666.775.481.803;-8314880;1;1
1.666.775.481.803;-8413184;1;1
1.666.775.481.803;-8413184;1;1
1.666.775.481.803;-8564736;1;1
1.666.775.481.803;-8441856;1;1
1.666.775.481.803;-8474624;1;1
1.666.775.481.803;-8507392;1;1
1.666.775.481.803;-8409088;1;1
1.666.775.481.803;-8409088;1;1
1.666.775.481.803;-8728576;1;1
1.666.775.481.803;-8794112;1;1
1.666.775.481.803;-8859648;1;1
1.666.775.481.803;-8695808;1;1
1.666.775.481.803;-8634368;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8572928;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8572928;1;2
1.666.775.481.803;-8409088;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8507392;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8826880;1;2
1.666.775.481.803;-8695808;1;2
1.666.775.481.803;-8728576;1;2
1.666.775.481.803;-8826880;1;2
1.666.775.481.803;-8663040;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8507392;1;2
1.666.775.481.803;-8572928;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8286208;1;2
1.666.775.481.803;-8351744;1;2
1.666.775.481.803;-8187904;1;2
1.666.775.481.803;-8155136;1;2
1.666.775.481.803;-8253440;1;2
1.666.775.481.803;-8667136;1;2
1.666.775.481.803;-8699904;1;2
1.666.775.481.803;-8568832;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8605696;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8507392;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8605696;1;2
1.666.775.481.803;-8409088;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8572928;1;2
1.666.775.481.803;-8409088;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8507392;1;2
1.666.775.481.803;-8540160;1;2
1.666.775.481.803;-8441856;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8474624;1;2
1.666.775.481.803;-8126464;1;2
1.666.775.481.803;-8126464;1;2
1.666.775.481.803;-8028160;1;2
1.666.775.481.803;-7553024;1;2
1.666.775.481.803;-7618560;1;2
1.666.775.481.803;-7651328;1;2
1.666.775.481.803;-8462336;1;2
1.666.775.481.803;-8314880;1;2
1.666.775.481.803;-8380416;1;2
1.666.775.481.803;-8445952;1;2
1.666.775.481.803;-8445952;1;2
1.666.775.481.803;-8314880;1;2
1.666.775.481.803;-8761344;2;2
1.666.775.481.803;-8826880;2;2
1.666.775.481.803;-8859648;2;2
1.666.775.481.803;-8695808;2;2
1.666.775.481.803;-8728576;2;2
1.666.775.481.803;-8507392;2;2
1.666.775.481.803;-8605696;2;2
1.666.775.481.803;-8282112;2;2
1.666.775.481.803;-8347648;2;2
1.666.775.481.803;-8347648;2;2
1.666.775.481.803;-8667136;2;2
1.666.775.481.803;-8536064;2;2
1.666.775.481.803;-8568832;2;2
1.666.775.481.803;-8634368;2;2
1.666.775.481.803;-8634368;2;2
1.666.775.481.803;-8605696;2;2
1.666.775.481.803;-8409088;2;2
1.666.775.481.803;-8507392;2;2
1.666.775.481.803;-8507392;2;2
1.666.775.481.803;-8540160;2;2
1.666.775.481.803;-8695808;2;2
1.666.775.481.803;-8728576;2;2
1.666.775.481.803;-8794112;2;2
1.666.775.481.803;-8794112;2;2
1.666.775.481.803;-8859648;2;2
1.666.775.481.803;-8441856;2;2
1.666.775.481.803;-8380416;2;2
1.666.775.481.803;-8413184;2;2
1.666.775.481.803;-8445952;2;2
1.666.775.481.803;-8314880;2;2
1.666.775.481.803;-8347648;2;2
1.666.775.481.803;-8826880;2;2
1.666.775.481.803;-8630272;2;2
1.666.775.481.803;-8728576;2;2
1.666.775.481.803;-8761344;2;2
1.666.775.481.803;-8794112;2;2
1.666.775.481.803;-8409088;2;2
1.666.775.481.803;-8474624;2;2
1.666.775.481.803;-8507392;2;2
1.666.775.481.803;-8572928;2;2
1.666.775.481.803;-8441856;2;2
1.666.775.481.803;-8474624;2;2
1.666.775.481.803;-8380416;2;2
1.666.775.481.803;-8445952;2;2
1.666.775.481.803;-8314880;2;2
1.666.775.481.803;-8347648;2;2
1.666.775.481.803;-8761344;2;2
1.666.775.481.803;-8794112;2;2
1.666.775.481.803;-8695808;2;2
1.666.775.481.803;-8761344;2;2
1.666.775.481.803;-8634368;2;2
1.666.775.481.803;-8572928;2;2
1.666.775.481.803;-8409088;2;2
1.666.775.481.803;-8441856;2;2
1.666.775.481.803;-8380416;2;2
1.666.775.481.803;-8413184;2;2
1.666.775.481.803;-8478720;2;2
1.666.775.481.803;-8568832;2;2
1.666.775.481.803;-8601600;2;2
