time;memory_free;r_a1;r_a2
1.666.876.000.581;0;0;0
1.666.876.000.581;-98304;0;0
1.666.876.000.581;-98304;0;0
1.666.876.000.581;65536;0;0
1.666.876.000.581;55586816;0;1
1.666.876.000.581;6135808;0;1
1.666.876.000.581;7307264;0;1
1.666.876.000.581;114348032;0;1
1.666.876.000.581;215633920;0;1
1.666.876.000.581;218394624;0;1
1.666.876.000.581;219185152;0;1
1.666.876.000.581;219410432;0;1
1.666.876.000.581;219312128;0;1
1.666.876.000.581;219312128;0;1
1.666.876.000.581;219312128;0;1
1.666.876.000.581;219410432;0;1
1.666.876.000.581;219947008;0;1
1.666.876.000.581;220012544;0;1
1.666.876.000.581;220110848;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220553216;0;1
1.666.876.000.581;220553216;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220520448;0;1
1.666.876.000.581;220618752;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220553216;0;1
1.666.876.000.581;220581888;0;1
1.666.876.000.581;220553216;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220635136;0;1
1.666.876.000.581;220680192;0;1
1.666.876.000.581;220549120;0;1
1.666.876.000.581;220614656;0;1
1.666.876.000.581;220807168;0;1
1.666.876.000.581;220708864;0;1
1.666.876.000.581;220520448;0;1
1.666.876.000.581;220618752;0;1
1.666.876.000.581;220520448;0;1
1.666.876.000.581;220618752;0;1
1.666.876.000.581;220520448;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220741632;0;1
1.666.876.000.581;220872704;0;1
1.666.876.000.581;220741632;0;1
1.666.876.000.581;220360704;0;1
1.666.876.000.581;220172288;0;1
1.666.876.000.581;220106752;0;1
1.666.876.000.581;220139520;0;1
1.666.876.000.581;220106752;0;1
1.666.876.000.581;220139520;0;1
1.666.876.000.581;220237824;0;1
1.666.876.000.581;220172288;0;1
1.666.876.000.581;220205056;0;1
1.666.876.000.581;220393472;0;1
1.666.876.000.581;220459008;0;1
1.666.876.000.581;220360704;0;1
1.666.876.000.581;220393472;0;1
1.666.876.000.581;220618752;0;1
1.666.876.000.581;220454912;0;1
1.666.876.000.581;220520448;0;1
1.666.876.000.581;220422144;0;1
1.666.876.000.581;220299264;0;1
1.666.876.000.581;220332032;0;1
1.666.876.000.581;226750464;1;1
1.666.876.000.581;226816000;1;1
1.666.876.000.581;399495168;1;1
1.666.876.000.581;437776384;1;1
1.666.876.000.581;439271424;1;1
1.666.876.000.581;439590912;1;1
1.666.876.000.581;440573952;1;1
1.666.876.000.581;440541184;1;1
1.666.876.000.581;440573952;1;1
1.666.876.000.581;440639488;1;1
1.666.876.000.581;440606720;1;1
1.666.876.000.581;440639488;1;1
1.666.876.000.581;440705024;1;1
1.666.876.000.581;440705024;1;1
1.666.876.000.581;441753600;1;1
1.666.876.000.581;441589760;1;1
1.666.876.000.581;441720832;1;1
1.666.876.000.581;441720832;1;1
1.666.876.000.581;441847808;1;1
1.666.876.000.581;441499648;1;1
1.666.876.000.581;441499648;1;1
1.666.876.000.581;441335808;1;1
1.666.876.000.581;441368576;1;1
1.666.876.000.581;441401344;1;1
1.666.876.000.581;441466880;1;1
1.666.876.000.581;441434112;1;1
1.666.876.000.581;441561088;1;1
1.666.876.000.581;441626624;1;1
1.666.876.000.581;441528320;1;1
1.666.876.000.581;441561088;1;1
1.666.876.000.581;441655296;1;1
1.666.876.000.581;441688064;1;1
1.666.876.000.581;441720832;1;1
1.666.876.000.581;441720832;1;1
1.666.876.000.581;441753600;1;1
1.666.876.000.581;441589760;1;1
1.666.876.000.581;441622528;1;1
1.666.876.000.581;441622528;1;1
1.666.876.000.581;441622528;1;1
1.666.876.000.581;441561088;1;1
1.666.876.000.581;441241600;1;1
1.666.876.000.581;441274368;1;1
1.666.876.000.581;441208832;1;1
1.666.876.000.581;441241600;1;1
1.666.876.000.581;441274368;1;1
1.666.876.000.581;441339904;1;1
1.666.876.000.581;441339904;1;1
1.666.876.000.581;441176064;1;1
1.666.876.000.581;441208832;1;1
1.666.876.000.581;441274368;1;1
1.666.876.000.581;441274368;1;1
1.666.876.000.581;441274368;1;1
1.666.876.000.581;441208832;1;1
1.666.876.000.581;441241600;1;1
1.666.876.000.581;441176064;1;1
1.666.876.000.581;441176064;1;1
1.666.876.000.581;441176064;1;1
1.666.876.000.581;441176064;1;1
1.666.876.000.581;441241600;1;1
1.666.876.000.581;441528320;1;1
1.666.876.000.581;520400896;1;2
1.666.876.000.581;448565248;1;2
1.666.876.000.581;516190208;1;2
1.666.876.000.581;645189632;1;2
1.666.876.000.581;659521536;1;2
1.666.876.000.581;661254144;1;2
1.666.876.000.581;661315584;1;2
1.666.876.000.581;661921792;1;2
1.666.876.000.581;661856256;1;2
1.666.876.000.581;661987328;1;2
1.666.876.000.581;661987328;1;2
1.666.876.000.581;661889024;1;2
1.666.876.000.581;661921792;1;2
1.666.876.000.581;661889024;1;2
1.666.876.000.581;661790720;1;2
1.666.876.000.581;662556672;1;2
1.666.876.000.581;662491136;1;2
1.666.876.000.581;662589440;1;2
1.666.876.000.581;662523904;1;2
1.666.876.000.581;662749184;1;2
1.666.876.000.581;662618112;1;2
1.666.876.000.581;662749184;1;2
1.666.876.000.581;667578368;1;2
1.666.876.000.581;662683648;1;2
1.666.876.000.581;662585344;1;2
1.666.876.000.581;662749184;1;2
1.666.876.000.581;662937600;1;2
1.666.876.000.581;662937600;1;2
1.666.876.000.581;662872064;1;2
