memory_free;r_a1;r_a2
0;0;0
30162944;0;0
29425664;0;0
30441472;0;0
31297536;0;0
31711232;0;0
51310592;0;0
35696640;0;0
36204544;0;0
36204544;0;0
36585472;0;0
36552704;0;0
37298176;0;0
37425152;0;0
37392384;0;0
37359616;0;0
37359616;0;0
37523456;0;0
38031360;0;0
37965824;0;0
38473728;0;0
38473728;0;0
38473728;0;0
38408192;0;0
38723584;0;0
38756352;0;0
38920192;0;0
38887424;0;0
38920192;0;0
38887424;0;0
38821888;0;0
38440960;0;0
38567936;0;0
38567936;0;0
38535168;0;0
38502400;0;0
38756352;0;0
38920192;0;0
38887424;0;0
38887424;0;0
38600704;0;0
38600704;0;0
38567936;0;0
38535168;0;0
38535168;1;0
38502400;1;0
38502400;1;0
38633472;1;0
38920192;1;0
38887424;1;0
38887424;1;0
38821888;1;0
39141376;1;0
39075840;1;0
38977536;1;0
39043072;1;0
39264256;1;0
39362560;1;0
39395328;1;0
39108608;1;0
39043072;1;0
39043072;1;0
39034880;1;0
39034880;1;0
38875136;1;0
38842368;1;0
38973440;1;0
39006208;1;0
38973440;1;0
38940672;1;0
38940672;1;0
38907904;1;0
39129088;1;0
39096320;1;0
39129088;1;0
39063552;1;0
39387136;1;0
39321600;1;0
39288832;1;0
39321600;1;0
39288832;1;0
39288832;1;0
38969344;1;0
38936576;1;0
39165952;1;0
39100416;1;0
39067648;1;0
39067648;1;0
39288832;1;0
39256064;1;0
39256064;1;0
39223296;1;0
38936576;1;0
39133184;1;0
39133184;1;0
39100416;1;0
39100416;1;0
39194624;1;0
39161856;1;0
39161856;1;0
39129088;1;0
39223296;1;0
39096320;1;0
39063552;1;0
39096320;1;1
39260160;1;1
39227392;1;1
39227392;1;1
39194624;1;1
39575552;1;1
39510016;1;1
39510016;1;1
39510016;1;1
39604224;1;1
39800832;1;1
39735296;1;1
39702528;1;1
39702528;1;1
39735296;1;1
39636992;1;1
39636992;1;1
39604224;1;1
39571456;1;1
39571456;1;1
39755776;1;1
39768064;1;1
39735296;1;1
39702528;1;1
39878656;1;1
39829504;1;1
39415808;1;1
39415808;1;1
39383040;1;1
39383040;1;1
39350272;1;1
39350272;1;1
39768064;1;1
39735296;1;1
39669760;1;1
39669760;1;1
39636992;1;1
39636992;1;1
39636992;1;1
39604224;1;1
40148992;1;1
40116224;1;1
40083456;1;1
40083456;1;1
40050688;1;1
39575552;1;1
39477248;1;1
39477248;1;1
39641088;1;1
39641088;1;1
39608320;1;1
39608320;1;1
39956480;1;1
39956480;1;1
39956480;1;1
39989248;1;1
39956480;1;1
39923712;1;1
39636992;1;1
39604224;1;1
39768064;2;1
39735296;2;1
39735296;2;1
39669760;2;1
39669760;2;1
39604224;2;1
39669760;2;1
39636992;2;1
40083456;2;1
40017920;2;1
40017920;2;1
40050688;2;1
39636992;2;1
39604224;2;1
39636992;2;1
39571456;2;1
40124416;2;1
40124416;2;1
40091648;2;1
40091648;2;1
40185856;2;1
40153088;2;1
40120320;2;1
40120320;2;1
40214528;2;1
40411136;2;1
40251392;2;1
40218624;2;1
40185856;2;1
40185856;2;1
40153088;2;1
40185856;2;1
40087552;2;1
40251392;2;1
40251392;2;1
40251392;2;1
40439808;2;1
40439808;2;1
40407040;2;1
40407040;2;1
40407040;2;1
40374272;2;1
40341504;2;1
40341504;2;1
40665088;2;1
40378368;2;1
40345600;2;1
40312832;2;1
40312832;2;1
40280064;2;1
40247296;2;1
40247296;2;1
40538112;2;1
40808448;2;1
40554496;2;1
40521728;2;1
40488960;2;1
40456192;2;1
40620032;2;1
40620032;2;1
40587264;2;2
40587264;2;2
40587264;2;2
40587264;2;2
40869888;2;2
40935424;2;2
40902656;2;2
40869888;2;2
40423424;2;2
40620032;2;2
40587264;2;2
40587264;2;2
40554496;2;2
40587264;2;2
40587264;2;2
40521728;2;2
40775680;2;2
40775680;2;2
40742912;2;2
40710144;2;2
40710144;2;2
41127936;2;2
41127936;2;2
40714240;2;2
40681472;2;2
40681472;2;2
40681472;2;2
40648704;2;2
40648704;2;2
40804352;2;2
40837120;2;2
40837120;2;2
40837120;2;2
40968192;2;2
40968192;2;2
40968192;2;2
40935424;2;2
40935424;2;2
40902656;2;2
40837120;2;2
44306432;2;2
40804352;2;2
40747008;2;2
