memory_free;r_a1;r_a2
0;0;0
-40960;0;0
73728;0;0
-98304;0;0
-24576;0;0
114688;0;0
16384;5;6
16384;5;6
-8192;5;6
-106496;5;6
-139264;5;6
-122880;5;6
-8192;5;6
-49152;5;6
-81920;5;6
-16384;5;6
-122880;5;6
-16384;5;6
-16384;5;6
-24576;5;6
0;5;6
73728;5;6
0;5;6
589824;5;6
434176;5;6
950272;5;6
917504;5;6
974848;5;6
942080;5;6
933888;5;6
974848;5;6
983040;5;6
1114112;5;6
1040384;5;6
671744;5;6
-159744;5;6
-200704;5;6
-225280;5;6
-118784;5;6
-233472;5;6
-45056;5;6
-274432;5;6
-176128;5;6
-176128;5;6
-65536;5;6
0;5;6
-110592;5;6
-208896;5;6
-167936;5;6
-135168;5;6
19451904;5;6
-57344;5;6
90112;5;6
180224;5;6
229376;5;6
172032;5;6
614400;5;6
761856;5;6
704512;5;6
786432;5;6
937984;5;6
901120;5;6
1032192;5;6
1048576;5;6
1093632;5;6
1085440;5;6
1052672;5;6
1028096;5;6
1130496;5;6
1089536;5;6
135168;5;6
-40960;5;6
-40960;5;6
-114688;5;6
-16384;5;6
-114688;5;6
-106496;5;6
-40960;5;6
-65536;5;6
0;5;6
-32768;5;6
-724992;5;6
-643072;5;6
-618496;5;6
-643072;5;6
-684032;5;6
-610304;5;6
-651264;5;6
-684032;5;6
-708608;5;6
-544768;5;6
-552960;5;6
-724992;5;6
-516096;5;6
-507904;5;6
-663552;5;6
-667648;5;6
-557056;5;6
-552960;5;6
-684032;5;6
-380928;5;6
180224;5;6
311296;5;6
262144;5;6
65536;5;6
-2052096;5;6
-1896448;5;6
-2043904;5;6
-1888256;5;6
-1597440;5;6
-1261568;5;6
-835584;5;6
966656;5;6
671744;5;6
696320;5;6
770048;5;6
860160;5;6
827392;5;6
-1773568;5;6
-1806336;5;6
-1855488;5;6
-2043904;5;6
-1622016;5;6
-983040;5;6
-475136;5;6
-630784;5;6
-442368;5;6
-516096;5;6
-565248;5;6
-524288;5;6
-499712;5;6
-434176;5;6
-356352;5;6
-471040;5;6
-507904;5;6
-507904;5;6
-647168;5;6
-573440;5;6
-638976;5;6
-466944;5;6
-466944;5;6
-315392;5;6
-364544;5;6
-339968;5;6
16384;5;6
389120;5;6
299008;5;6
266240;5;6
405504;5;6
430080;5;6
364544;5;6
405504;5;6
462848;5;6
442368;5;6
606208;5;6
462848;5;6
348160;5;6
258048;5;6
266240;5;6
479232;5;6
438272;5;6
622592;5;6
598016;5;6
548864;5;6
573440;5;6
282624;5;6
405504;5;6
413696;5;6
413696;5;6
323584;5;6
282624;5;6
1085440;5;6
1150976;5;6
417792;5;6
507904;5;6
540672;5;6
540672;5;6
540672;5;6
475136;5;6
573440;5;6
720896;5;6
696320;5;6
761856;5;6
729088;5;6
-81920;5;6
-90112;5;6
32768;5;6
0;5;6
16384;5;6
-81920;5;6
73728;5;6
0;5;6
-32768;5;6
40960;5;6
-98304;5;6
-122880;5;6
-32768;5;6
-32768;5;6
-57344;5;6
73728;5;6
8192;5;6
143360;5;6
86016;5;6
102400;5;6
102400;5;6
126976;5;6
77824;5;6
200704;5;6
110592;5;6
12288;5;6
36864;5;6
225280;5;6
176128;5;6
143360;5;6
36864;5;6
94208;5;6
176128;5;6
135168;5;6
45056;5;6
118784;5;6
184320;5;6
36864;5;6
200704;5;6
200704;5;6
126976;5;6
204800;5;6
401408;5;6
319488;5;6
278528;5;6
294912;5;6
286720;5;6
466944;5;6
483328;5;6
417792;5;6
589824;5;6
450560;5;6
483328;5;6
401408;5;6
581632;5;6
450560;5;6
917504;5;6
1089536;5;6
1097728;5;6
958464;5;6
2420736;5;6
2363392;5;6
2387968;5;6
2387968;5;6
1159168;5;6
1159168;5;6
1118208;5;6
1191936;5;6
1044480;5;6
819200;5;6
610304;5;6
753664;5;6
737280;5;6
835584;5;6
802816;5;6
729088;5;6
729088;5;6
770048;5;6
745472;5;6
802816;5;6
786432;5;6
794624;5;6
688128;5;6
688128;5;6
843776;5;6
1159168;5;6
1191936;5;6
1126400;5;6
1257472;5;6
1601536;5;6
1667072;5;6
1585152;5;6
1650688;5;6
1585152;5;6
1626112;5;6
905216;5;6
770048;5;6
737280;5;6
778240;5;6
696320;5;6
712704;5;6
843776;5;6
704512;5;6
835584;5;6
696320;5;6
778240;5;6
704512;5;6
835584;5;6
802816;5;6
802816;5;6
917504;5;6
835584;5;6
835584;5;6
868352;5;6
745472;5;6
737280;5;6
802816;5;6
892928;5;6
770048;5;6
827392;5;6
884736;5;6
737280;5;6
696320;5;6
835584;5;6
811008;5;6
745472;5;6
1007616;5;6
950272;5;6
1146880;5;6
1015808;5;6
1064960;5;6
1040384;5;6
1089536;5;6
933888;5;6
1073152;5;6
892928;5;6
950272;5;6
950272;5;6
999424;5;6
991232;5;6
1024000;5;6
1515520;5;6
1630208;5;6
1605632;5;6
1138688;5;6
999424;5;6
880640;5;6
888832;5;6
954368;5;6
987136;5;6
856064;5;6
847872;5;6
864256;5;6
1032192;5;6
1056768;5;6
1163264;5;6
1114112;5;6
1040384;5;6
1130496;5;6
1122304;5;6
1007616;5;6
1024000;5;6
1122304;5;6
1089536;5;6
1073152;5;6
1277952;5;6
1245184;5;6
1024000;5;6
1097728;5;6
1015808;5;6
1089536;5;6
1032192;5;6
991232;5;6
991232;5;6
1499136;5;6
1433600;5;6
2166784;5;6
2158592;5;6
770048;5;6
413696;5;6
430080;5;6
356352;5;6
495616;5;6
364544;5;6
462848;5;6
421888;5;6
348160;5;6
462848;5;6
380928;5;6
471040;5;6
323584;5;6
462848;5;6
794624;5;6
913408;5;6
913408;5;6
888832;5;6
995328;5;6
1343488;5;6
1781760;5;6
-1085440;5;6
-1327104;5;6
-1204224;5;6
-1179648;5;6
-1150976;5;6
-1019904;5;6
-708608;5;6
-643072;5;6
-602112;5;6
-733184;5;6
-196608;5;6
-344064;5;6
-188416;5;6
-245760;5;6
-245760;5;6
-270336;5;6
-98304;5;6
-278528;5;6
90112;5;6
73728;5;6
-16384;5;6
-122880;5;6
581632;5;6
581632;5;6
843776;5;6
720896;5;6
1437696;5;6
1503232;5;6
1355776;5;6
6406144;5;6
1347584;5;6
1380352;5;6
1380352;5;6
1331200;5;6
1380352;5;6
-995328;5;6
-1052672;5;6
-1142784;5;6
-1101824;5;6
-1175552;5;6
-311296;5;6
212992;5;6
294912;5;6
294912;5;6
303104;5;6
311296;5;6
294912;5;6
368640;5;6
262144;5;6
421888;5;6
380928;5;6
454656;5;6
454656;5;6
454656;5;6
389120;5;6
471040;5;6
446464;5;6
299008;5;6
544768;5;6
700416;5;6
958464;5;6
942080;5;6
1523712;5;6
1404928;5;6
1437696;5;6
1331200;5;6
1347584;5;6
1478656;5;6
1413120;5;6
1519616;5;6
1490944;5;6
1212416;5;6
1343488;5;6
1286144;5;6
1196032;5;6
1212416;5;6
1236992;5;6
1318912;5;6
1310720;5;6
1327104;5;6
1409024;5;6
1343488;5;6
1310720;5;6
1179648;5;6
1409024;5;6
1286144;5;6
1294336;5;6
1220608;5;6
1236992;5;6
1318912;5;6
1343488;5;6
1277952;5;6
1269760;5;6
1318912;5;6
1368064;5;6
1335296;5;6
1351680;5;6
1245184;5;6
1261568;5;6
1277952;5;6
1236992;5;6
1310720;5;6
1228800;5;6
1335296;5;6
1204224;5;6
1400832;5;6
1212416;5;6
1277952;5;6
1302528;5;6
1310720;5;6
1179648;5;6
1351680;5;6
1310720;5;6
1413120;5;6
1372160;5;6
1372160;5;6
1388544;5;6
1404928;5;6
1339392;5;6
1396736;5;6
1273856;5;6
1404928;5;6
1445888;5;6
1470464;5;6
1404928;5;6
1470464;5;6
1437696;5;6
1470464;5;6
1363968;5;6
1437696;5;6
1470464;5;6
2666496;5;6
2658304;5;6
2740224;5;6
3215360;5;6
3239936;5;6
2957312;5;6
417792;5;6
516096;5;6
483328;5;6
589824;5;6
548864;5;6
548864;5;6
491520;5;6
638976;5;6
409600;5;6
1032192;5;6
1081344;5;6
1105920;5;6
2461696;5;6
2985984;5;6
2887680;5;6
2863104;5;6
3244032;5;6
3358720;5;6
3227648;5;6
3424256;5;6
3395584;5;6
3436544;5;6
3411968;5;6
733184;5;6
610304;5;6
675840;5;6
700416;5;6
708608;5;6
675840;5;6
839680;5;6
667648;5;6
741376;5;6
618496;5;6
651264;5;6
716800;5;6
716800;5;6
569344;5;6
708608;5;6
708608;5;6
770048;5;6
737280;5;6
643072;5;6
749568;5;6
667648;5;6
757760;5;6
761856;5;6
610304;5;6
577536;5;6
544768;5;6
909312;5;6
712704;5;6
753664;5;6
720896;5;6
696320;5;6
745472;5;6
671744;5;6
819200;5;6
786432;5;6
802816;5;6
770048;5;6
794624;5;6
778240;5;6
753664;5;6
737280;5;6
745472;5;6
622592;5;6
901120;5;6
802816;5;6
688128;5;6
843776;5;6
827392;5;6
770048;5;6
1318912;5;6
770048;5;6
802816;5;6
712704;5;6
868352;5;6
811008;5;6
929792;5;6
872448;5;6
1486848;5;6
1372160;5;6
1527808;5;6
1478656;5;6
-872448;5;6
-790528;5;6
-880640;5;6
-815104;5;6
-839680;5;6
114688;5;6
143360;5;6
69632;5;6
675840;5;6
667648;5;6
741376;5;6
716800;5;6
1056768;5;6
1114112;5;6
1081344;5;6
1081344;5;6
1048576;5;6
1114112;5;6
958464;5;6
1163264;5;6
1024000;5;6
999424;5;6
1130496;5;6
1056768;5;6
950272;5;6
1056768;5;6
1015808;5;6
1081344;5;6
1097728;5;6
1138688;5;6
1998848;5;6
2088960;5;6
2039808;5;6
2555904;5;6
2646016;5;6
2482176;5;6
-823296;5;6
-790528;5;6
-823296;5;6
-839680;5;6
-299008;5;6
167936;5;6
36864;5;6
200704;5;6
143360;5;6
135168;5;6
143360;5;6
176128;5;6
77824;5;6
176128;5;6
110592;5;6
167936;5;6
643072;5;6
651264;5;6
626688;5;6
569344;5;6
921600;5;6
823296;5;6
831488;5;6
937984;5;6
1286144;5;6
1359872;5;6
1376256;5;6
1204224;5;6
1470464;5;6
1404928;5;6
1347584;5;6
1286144;5;6
1437696;5;6
1429504;5;6
1269760;5;6
1359872;5;6
1445888;5;6
1445888;5;6
1331200;5;6
1421312;5;6
1306624;5;6
1507328;5;6
1474560;5;6
1630208;5;6
1572864;5;6
1556480;5;6
1646592;5;6
1433600;5;6
1597440;5;6
1650688;5;6
1789952;5;6
1716224;5;6
1683456;5;6
1724416;5;6
1593344;5;6
1970176;5;6
1953792;5;6
2002944;5;6
1912832;5;6
1978368;5;6
1888256;5;6
1970176;5;6
1945600;5;6
2027520;5;6
1880064;5;6
1921024;5;6
1912832;5;6
1912832;5;6
1953792;5;6
1945600;5;6
1912832;5;6
1970176;5;6
2035712;5;6
1888256;5;6
1847296;5;6
2093056;5;6
1986560;5;6
1937408;5;6
1978368;5;6
1880064;5;6
1961984;5;6
2011136;5;6
1814528;5;6
1945600;5;6
1953792;5;6
1781760;5;6
1994752;5;6
1978368;5;6
1953792;5;6
1978368;5;6
1986560;5;6
1896448;5;6
2097152;5;6
2039808;5;6
2113536;5;6
2113536;5;6
2031616;5;6
1859584;5;6
1802240;5;6
1703936;5;6
1695744;5;6
1802240;5;6
1818624;5;6
1769472;5;6
1753088;5;6
1847296;5;6
1855488;5;6
1851392;5;6
1843200;5;6
1904640;5;6
1880064;5;6
1912832;5;6
1978368;5;6
1785856;5;6
1859584;5;6
1777664;5;6
1810432;5;6
1945600;5;6
1953792;5;6
1953792;5;6
2289664;5;6
2793472;5;6
2670592;5;6
2768896;5;6
2875392;5;6
2801664;5;6
2007040;5;6
2080768;5;6
2113536;5;6
2105344;5;6
2072576;5;6
1974272;5;6
2113536;5;6
2007040;5;6
1998848;5;6
2007040;5;6
2072576;5;6
2072576;5;6
2097152;5;6
2097152;5;6
2015232;5;6
2129920;5;6
1982464;5;6
2154496;5;6
2056192;5;6
2072576;5;6
1916928;5;6
2080768;5;6
2072576;5;6
2113536;5;6
2080768;5;6
2007040;5;6
1998848;5;6
2039808;5;6
2015232;5;6
2187264;5;6
1933312;5;6
1933312;5;6
2088960;5;6
2138112;5;6
2072576;5;6
2113536;5;6
2088960;5;6
2113536;5;6
2154496;5;6
2080768;5;6
2113536;5;6
2105344;5;6
2007040;5;6
2875392;5;6
2932736;5;6
2760704;5;6
2777088;5;6
3436544;5;6
3534848;5;6
3198976;5;6
3182592;5;6
3198976;5;6
3125248;5;6
3084288;5;6
3125248;5;6
3182592;5;6
3248128;5;6
3297280;5;6
3248128;5;6
3043328;5;6
2195456;5;6
2359296;5;6
2400256;5;6
2351104;5;6
2383872;5;6
2228224;5;6
2392064;5;6
2424832;5;6
2260992;5;6
2367488;5;6
2301952;5;6
2359296;5;6
2293760;5;6
2179072;5;6
2367488;5;6
2260992;5;6
2293760;5;6
2400256;5;6
2326528;5;6
2293760;5;6
2367488;5;6
2220032;5;6
2392064;5;6
2408448;5;6
2228224;5;6
2416640;5;6
2445312;5;6
2445312;5;6
2519040;5;6
2420736;5;6
2031616;5;6
1974272;5;6
2113536;5;6
2105344;5;6
2007040;5;6
2105344;5;6
2129920;5;6
2072576;5;6
1470464;5;6
1437696;5;6
1318912;5;6
1318912;5;6
1236992;5;6
1396736;5;6
1265664;5;6
1372160;5;6
1404928;5;6
1331200;5;6
1437696;5;6
1261568;5;6
1376256;5;6
1437696;5;6
1503232;5;6
1478656;5;6
1277952;5;6
1138688;5;6
1409024;5;6
1310720;5;6
1277952;5;6
1294336;5;6
1204224;5;6
1368064;5;6
1974272;5;6
1212416;5;6
1245184;5;6
1187840;5;6
1171456;5;6
1269760;5;6
1318912;5;6
1146880;5;6
1351680;5;6
1171456;5;6
1236992;5;6
1335296;5;6
1314816;5;6
1413120;5;6
1454080;5;6
1470464;5;6
1974272;5;6
2072576;5;6
2072576;5;6
2048000;5;6
2121728;5;6
2134016;5;6
2105344;5;6
2064384;5;6
2088960;5;6
2039808;5;6
2039808;5;6
2056192;5;6
2080768;5;6
1966080;5;6
1916928;5;6
2039808;5;6
2007040;5;6
2015232;5;6
2080768;5;6
2994176;5;6
2895872;5;6
3346432;5;6
3543040;5;6
3485696;5;6
3338240;5;6
1368064;5;6
1286144;5;6
1212416;5;6
1212416;5;6
1212416;5;6
1220608;5;6
1310720;5;6
1187840;5;6
1146880;5;6
1253376;5;6
1310720;5;6
1294336;5;6
1630208;5;6
1638400;5;6
1589248;5;6
1490944;5;6
1622016;5;6
1556480;5;6
1515520;5;6
1540096;5;6
1474560;5;6
1703936;5;6
1597440;5;6
1466368;5;6
1630208;5;6
