memory_free;r_a1;r_a2
0;0;0
34562048;0;0
36364288;0;0
36458496;0;0
37601280;0;0
39542784;0;0
39477248;0;0
39477248;0;0
39919616;0;0
39952384;0;0
39919616;0;0
39919616;0;0
39952384;0;0
39886848;0;0
39759872;0;0
39759872;0;0
39923712;0;0
39890944;0;0
39890944;0;0
39890944;0;0
39985152;0;0
40017920;0;0
39985152;0;0
39952384;0;0
40427520;0;0
40427520;0;0
40558592;0;0
40558592;0;0
40464384;0;0
40431616;0;0
40398848;0;0
40366080;0;0
40460288;0;0
40206336;0;0
40173568;0;0
40173568;0;0
40337408;0;0
40304640;0;0
40337408;0;0
40304640;0;0
40591360;0;0
40525824;0;0
40460288;0;0
40493056;0;0
40554496;0;0
40587264;0;0
40554496;0;0
40521728;0;0
40812544;0;0
40812544;0;0
40812544;0;0
40812544;0;0
40779776;0;0
40747008;0;0
40714240;0;0
40681472;0;0
40624128;0;0
40591360;0;0
40624128;0;0
40591360;0;0
40525824;0;0
40525824;0;0
40493056;0;0
40493056;0;0
40587264;0;0
40554496;0;0
40751104;0;0
40718336;0;0
40845312;0;0
40812544;0;0
40812544;0;0
40779776;0;0
40747008;0;0
40747008;0;0
40681472;0;0
40714240;0;0
41005056;0;0
41005056;0;0
40972288;0;0
40906752;0;0
40939520;0;0
40939520;0;0
40906752;0;0
40906752;0;0
40968192;0;0
41164800;0;0
41132032;0;0
41132032;0;0
41099264;0;0
41066496;0;0
41066496;0;0
41033728;0;0
41254912;0;0
41287680;0;0
41254912;0;0
41254912;0;0
41418752;0;0
41353216;0;0
41353216;0;0
41353216;0;0
41353216;0;0
41320448;0;0
41320448;0;0
41447424;0;0
41447424;0;0
41414656;0;0
41414656;0;0
41127936;0;0
41226240;0;0
41259008;0;0
41226240;0;0
41193472;0;0
40906752;0;0
40906752;0;0
41005056;0;0
41005056;0;0
41037824;0;0
41005056;0;0
40972288;0;0
41193472;0;0
41160704;0;0
41127936;0;0
41095168;0;0
41222144;0;0
41418752;0;0
41385984;0;0
41320448;0;0
41447424;0;0
41414656;0;0
41414656;0;0
41414656;0;0
41414656;0;0
41476096;0;0
41672704;0;0
41607168;0;0
41639936;0;0
41607168;0;0
41639936;0;0
41574400;0;0
41574400;0;0
41574400;0;0
41127936;0;0
41160704;0;0
41291776;0;0
41291776;0;0
41259008;0;0
41226240;0;0
41226240;0;0
41447424;0;0
41447424;0;0
41447424;0;0
41414656;0;0
41541632;0;0
41508864;0;0
41476096;0;0
41672704;0;0
41639936;0;0
41639936;0;0
41607168;0;0
41574400;0;0
41607168;0;0
41574400;0;0
41541632;0;0
41541632;0;0
41508864;0;0
41508864;0;0
41672704;0;0
41672704;0;0
41639936;0;0
41607168;0;0
41574400;0;0
42004480;0;0
41938944;0;0
41938944;0;0
41906176;0;0
42135552;0;0
42196992;0;0
42164224;0;0
41783296;0;0
41750528;0;0
41717760;0;0
41684992;0;0
41848832;0;0
41848832;0;0
41975808;0;0
41910272;0;0
41877504;0;0
41877504;0;0
41844736;0;0
41844736;0;0
41844736;0;0
41844736;0;0
42229760;0;0
42229760;0;0
42196992;0;0
42196992;0;0
41943040;0;0
41910272;0;0
41877504;0;0
41877504;0;0
41811968;0;0
41811968;0;0
41779200;0;0
41844736;0;0
42070016;0;0
42287104;0;0
42254336;0;0
42254336;0;0
42348544;0;0
78729216;0;0
314191872;0;0
314380288;0;0
314380288;0;0
314347520;0;0
314380288;0;0
314347520;0;0
314408960;0;0
314441728;0;0
314408960;0;0
314376192;0;0
314572800;0;0
314540032;0;0
314507264;0;0
314540032;0;0
314126336;0;0
314093568;0;0
314060800;0;0
314093568;0;0
314028032;0;0
314028032;0;0
314028032;0;0
313995264;0;0
314699776;0;0
314658816;0;0
312913920;0;0
312815616;0;0
312815616;0;0
312815616;0;0
313704448;0;0
314454016;0;0
314433536;0;0
314368000;0;0
314564608;0;0
314564608;0;0
314499072;0;0
314531840;0;0
314499072;0;0
314757120;0;0
314724352;0;0
314691584;0;0
314724352;0;0
314753024;0;0
314531840;0;0
314662912;0;0
314662912;0;0
314662912;0;0
314630144;0;0
314630144;0;0
314630144;0;0
314597376;0;0
314818560;0;0
314785792;0;0
314531840;0;0
314499072;0;0
314695680;0;0
314662912;0;0
314662912;0;0
314630144;0;0
314851328;0;0
314884096;0;0
314818560;0;0
314818560;0;0
315072512;0;0
315006976;0;0
315072512;0;0
315203584;0;0
315203584;0;0
315138048;0;0
315170816;0;0
315138048;0;0
315138048;0;0
315105280;0;0
315039744;0;0
315006976;0;0
315006976;0;0
315170816;0;0
315170816;0;0
315170816;0;0
315138048;0;0
315105280;0;0
314724352;0;0
314724352;0;0
314691584;0;0
314691584;0;0
314658816;0;0
314822656;0;0
