memory_free;r_a1;r_a2
0;0;0
32661504;0;0
34156544;0;0
34541568;0;0
35573760;0;0
36130816;0;0
36257792;0;0
36225024;0;0
36319232;0;0
36352000;0;0
37715968;0;0
37969920;0;0
38674432;0;0
38674432;0;0
38674432;0;0
38674432;0;0
38641664;0;0
38641664;0;0
38641664;0;0
38641664;0;0
38801408;0;0
38735872;0;0
38768640;0;0
38735872;0;0
39718912;0;0
39370752;0;0
39370752;0;0
39337984;0;0
39305216;0;0
39370752;0;0
39337984;0;0
39305216;0;0
39399424;0;0
39464960;0;0
39432192;0;0
39399424;0;0
39780352;0;0
39944192;0;0
39944192;0;0
39944192;0;0
39874560;0;0
40071168;0;0
40038400;0;0
39657472;0;0
39624704;0;0
39657472;0;0
39624704;0;0
39624704;0;0
40005632;0;0
40005632;0;0
39940096;1;0
39972864;1;0
39940096;1;0
40005632;1;0
39972864;1;0
39907328;1;0
40230912;1;0
40230912;1;0
40165376;1;0
40198144;1;0
40419328;1;0
40419328;1;0
40202240;1;0
40124416;1;0
40189952;1;0
40124416;1;0
40124416;1;0
40157184;1;0
40599552;1;0
40599552;1;0
40632320;1;0
38572032;1;0
38535168;1;0
38535168;1;0
38699008;1;0
39297024;1;0
39899136;1;0
39931904;1;0
40095744;1;0
40095744;1;0
40062976;1;0
40062976;1;0
40189952;1;0
40972288;1;0
40972288;1;0
40972288;1;0
40812544;1;0
40812544;1;0
40845312;1;0
40779776;1;0
40747008;1;0
40747008;1;0
40747008;1;0
40906752;1;0
40841216;1;0
40808448;1;0
40841216;1;0
41132032;1;0
41132032;1;0
41099264;1;0
40845312;1;0
40845312;1;0
40845312;1;0
40812544;1;0
40845312;1;0
41066496;1;0
41033728;1;0
41066496;1;0
41033728;1;0
41033728;1;0
41000960;1;1
41033728;1;1
41000960;1;1
41033728;1;1
40873984;1;1
40841216;1;1
40873984;1;1
40935424;1;1
40935424;1;1
41132032;1;1
41099264;1;1
41385984;1;1
41320448;1;1
41385984;1;1
41353216;1;1
41480192;1;1
41447424;1;1
41512960;1;1
41099264;1;1
41066496;1;1
41132032;1;1
41099264;1;1
41066496;1;1
41447424;1;1
41447424;1;1
41447424;1;1
41414656;1;1
41033728;1;1
41033728;1;1
41000960;1;1
41000960;1;1
41033728;1;1
41033728;1;1
41033728;1;1
41398272;1;1
41349120;1;1
41381888;1;1
41000960;1;1
40968192;1;1
41000960;1;1
40935424;1;1
40935424;1;1
41639936;1;1
41443328;1;1
41607168;1;1
41639936;1;1
41226240;1;1
41226240;1;1
41193472;1;1
41193472;1;1
41193472;1;1
41193472;1;1
41193472;1;1
41193472;1;1
41160704;1;1
41193472;1;1
41160704;1;1
41160704;1;1
41668608;1;1
41635840;1;1
41603072;2;1
41635840;2;1
41603072;2;1
41603072;2;1
41316352;2;1
41869312;2;1
41902080;2;1
41902080;2;1
41836544;2;1
41803776;2;1
42123264;2;1
42090496;2;1
42057728;2;1
42057728;2;1
42024960;2;1
